mileage	price	construction_year	power	car_state	car_owner	transmission	fuel	fuel_consumption_per_100_km
100	55450	0	249	new	0	Automatik	Benzin	7,9
1900	59800	0	250	new	0	Automatik	Benzin	7,9
40	59900	0	200	new	0	Automatik	Benzin	7,8
7500	51990	0	250	new	0	Automatik	Benzin	7,9
3535	46850	0	241	new	0	Automatik	Benzin	-/-
100	47500	0	200	new	0	Automatik	Benzin	7,6
2500	48450	0	200	new	0	Automatik	Benzin	9,3
15	49600	0	200	new	0	Automatik	Benzin	7,8
0	49990	0	249	new	0	Automatik	Benzin	7,9
15	50400	0	200	new	0	Automatik	Benzin	7,8
9000	50444	0	200	new	0	Automatik	Benzin	7,7
3215	50990	0	200	new	0	Automatik	Benzin	7,7
11	51290	0	200	new	0	Automatik	Benzin	7,7
0	51490	0	249	new	0	Automatik	Benzin	7,9
4500	51880	0	200	new	0	Automatik	Benzin	7,7
15	52450	0	249	new	0	Automatik	Benzin	7,9
10	53900	0	200	new	0	Automatik	Benzin	7,7
0	53950	0	200	new	0	Automatik	Benzin	7,7
0	53990	0	200	new	0	Automatik	Benzin	7,7
0	53990	0	200	new	0	Automatik	Benzin	7,7
2500	54440	0	200	new	0	Automatik	Benzin	7,7
10	54830	0	200	new	0	Automatik	Benzin	9,4
3500	54880	0	200	new	0	Automatik	Benzin	7,7
3500	54880	0	200	new	0	Automatik	Benzin	7,7
10	54900	0	200	new	0	Automatik	Benzin	7,7
8475	54900	0	241	new	0	Automatik	Benzin	8,2
4500	54980	0	249	new	0	Automatik	Benzin	7,6
3000	54980	0	200	new	0	Automatik	Benzin	7,7
1550	54985	0	200	new	0	Automatik	Benzin	7,7
6	54990	0	249	new	0	Automatik	Benzin	7,9
